criminal_act_id,offense_id
3,39223044
6,39223044
6,39205698
6,39209586
6,39209587
6,39209588
8,39210024
6,39223047
6,39206649
6,39223048
6,39205699
6,39205700
6,39209448
6,39210785
6,39206650
3,39206651
6,39206651
6,39205701
6,39207134
6,39207135
6,39210786
6,39205702
6,39206652
6,39207136
6,39209449
8,39209449
8,39206653
6,39209450
6,39205703
8,39205704
8,39223049
6,39205705
6,39209589
6,39209590
6,39207137
6,39210787
9,39231511
6,39255331
9,39255332
9,39255333
9,39228734
9,39255334
9,39255335
9,39228735
9,39234513
9,39255336
9,39231521
8,39234531
9,39237926
9,39255310
9,39231494
9,39255311
9,39237928
6,39237929
9,39231495
9,39228710
9,39255312
9,39233903
9,39228711
9,39231667
9,39233904
9,39255313
9,39255314
9,39231499
9,39231500
9,39255315
9,39233905
9,39228712
9,39231502
9,39233906
9,39255316
10,39233908
9,39255317
9,39228715
9,39231504
9,39231670
9,39255318
9,39231505
9,39234504
9,39231506
6,39237931
9,39231673
11,39231674
9,39228716
3,39237932
9,39228717
9,39237933
9,39228718
9,39234506
9,39255322
9,39237936
9,39255323
9,39255325
9,39231676
9,39237937
9,39231507
9,39255326
9,39228720
9,39233910
9,39233911
3,39255327
9,39231508
3,39232448
9,39234507
9,39255329
9,39228722
9,39233913
9,39228723
9,39233914
9,39228724
9,39233915
3,39228727
9,39228728
9,39234508
9,39231510
9,39228729
9,39228730
9,39255330
9,39234509
9,39232449
9,39243519
9,39237941
9,39233921
9,39234517
6,39234518
9,39231513
9,39255338
9,39231514
9,39233922
9,39255339
9,39237943
9,39255340
9,39234519
9,39237944
9,39233923
9,39232456
9,39233924
9,39234521
6,39233925
9,39237945
9,39228738
9,39233926
9,39231516
9,39232457
9,39231518
9,39255342
9,39234523
3,39255343
9,39233929
9,39234524
9,39233931
9,39232460
9,39228740
9,39229503
9,39232461
9,39229504
9,39237946
9,39255347
9,39231524
6,39234529
9,39232463
9,39237948
9,39233933
9,39255350
9,39233934
9,39232464
9,39232465
9,39233935
9,39232466
10,39229509
9,39231529
9,39234532
9,39237950
9,39255352
9,39233937
9,39233938
9,39231527
9,39255355
9,39229510
3,39233939
9,39229517
9,39245701
9,39242639
9,39256134
9,39242640
9,39237971
6,39237606
9,39237973
9,39242641
9,39256135
9,39256137
9,39242642
9,39231547
9,39242643
9,39237608
9,39242644
9,39237613
9,39231530
6,39231531
6,39231532
6,39232470
9,39237951
9,39232471
3,39232472
6,39229511
9,39229512
6,39232474
9,39255358
9,39255359
9,39232475
9,39229514
9,39229515
9,39231534
10,39234536
8,39255363
9,39237953
9,39232476
9,39231537
9,39229516
9,39231538
9,39233945
9,39229518
9,39237957
9,39255364
9,39237958
9,39237959
6,39229519
9,39232477
9,39229521
9,39233946
3,39229522
6,39232479
9,39232480
9,39233947
9,39232481
9,39237960
9,39234540
9,39234541
9,39229523
9,39231541
9,39229524
6,39232484
9,39234542
9,39256128
9,39229526
9,39231543
3,39229527
6,39229528
9,39234543
9,39229529
9,39234544
9,39237962
9,39232485
9,39231544
9,39231545
9,39232486
9,39237963
9,39232487
6,39237599
9,39256129
6,39237600
6,39237601
9,39237603
6,39256130
9,39237965
9,39233951
9,39233952
3,39233953
9,39232488
9,39256132
9,39237966
9,39237605
9,39242637
9,39242638
9,39232489
9,39237975
9,39242645
9,39237610
9,39233954
6,39233955
9,39233956
9,39232492
9,39256138
9,39232493
6,39242647
9,39242648
9,39256140
3,39242649
3,39232494
9,39237976
9,39256142
9,39242650
6,39237614
9,39233957
9,39256143
3,39242651
9,39256144
3,39232496
9,39232497
9,39237979
9,39237617
9,39233961
9,39237618
9,39237980
9,39232498
9,39232320
9,39242653
9,39237619
3,39242654
9,39233962
9,39233963
6,39232321
9,39237924
8,39239683
9,39256145
9,39233965
9,39237620
9,39242658
9,39232501
9,39232324
9,39233967
6,39232326
9,39232327
9,39232332
9,39232333
9,39237625
9,39237623
9,39256152
6,39232330
6,39232503
9,39256155
9,39232331
9,39232336
9,39256157
9,39256158
9,39233978
8,39233980
9,39256159
9,39233983
9,39233984
6,39233985
9,39232337
9,39242664
9,39237632
9,39232513
9,39246945
9,39238509
9,39243449
9,39232539
9,39242670
9,39237998
9,39237999
9,39256170
9,39238002
9,39256171
9,39232517
9,39232347
6,39232518
6,39234752
8,39234752
1,39234752
9,39232511
6,39256161
9,39242666
6,39242667
9,39237990
9,39233988
9,39256162
9,39237991
9,39232341
9,39232342
9,39256164
9,39237634
9,39233991
6,39256165
9,39237994
9,39232344
9,39237995
9,39256166
9,39232515
6,39232345
9,39232516
9,39237997
6,39256168
3,39242669
9,39234753
6,39237636
9,39232349
9,39232350
9,39242675
9,39238003
9,39232351
9,39238004
9,39256173
9,39232354
6,39242679
6,39232523
9,39232524
3,39238006
3,39256175
9,39240444
3,39242680
3,39237637
9,39240446
9,39256176
9,39238010
9,39232527
9,39232528
9,39242681
9,39240448
9,39232529
9,39232530
9,39240450
6,39256179
3,39242682
9,39237638
9,39234759
3,39232531
3,39232532
3,39237640
3,39237641
9,39240451
9,39237642
9,39237643
9,39237644
9,39243445
9,39240452
9,39237645
9,39232536
6,39238014
9,39240455
9,39238015
9,39238016
9,39237646
9,39243446
9,39234762
9,39238020
9,39243448
9,39232538
3,39240457
3,39234765
3,39256181
3,39256182
3,39237648
9,39234766
3,39237650
9,39232540
9,39262456
6,39234787
9,39234788
6,39232555
3,39232555
9,39246908
9,39240481
9,39237668
3,39234790
7,39234790
6,39234790
9,39232556
9,39239673
9,39240485
9,39243472
9,39256201
9,39239674
9,39237670
9,39256202
9,39237654
3,39243457
9,39240461
3,39238022
6,39243458
9,39243459
9,39256188
9,39243460
9,39238023
9,39237657
9,39256190
9,39256191
9,39232544
9,39238025
9,39256192
9,39238026
9,39232545
9,39240464
6,39256193
9,39240465
9,39237659
9,39232546
3,39234776
9,39243463
9,39238027
3,39234777
3,39240471
9,39256183
9,39243453
9,39234769
9,39232541
3,39243454
9,39256185
9,39234770
3,39232542
9,39234771
9,39237652
9,39234772
9,39232543
9,39256186
9,39234773
9,39240472
9,39238028
9,39238029
9,39232547
9,39243464
9,39238030
9,39232548
9,39243465
3,39237663
9,39232550
9,39232551
6,39256195
9,39238031
9,39238032
9,39238034
9,39232552
9,39234781
9,39238036
6,39238037
9,39234784
9,39237664
9,39238038
6,39256196
6,39234786
9,39243469
9,39237665
9,39240474
9,39232553
9,39232554
9,39240475
9,39240476
9,39240477
9,39240479
9,39241936
9,39246925
9,39239685
9,39256214
9,39238443
9,39243488
9,39239686
9,39246926
9,39243489
3,39240498
3,39241938
3,39240499
9,39256215
6,39246928
9,39246930
9,39256218
9,39241941
9,39246933
9,39240500
9,39241943
9,39238444
9,39243490
9,39243491
6,39246934
6,39246935
9,39243492
9,39241944
3,39239690
6,39243494
3,39243495
9,39246939
6,39256222
3,39238448
9,39243496
9,39243498
9,39246942
9,39241948
9,39241949
6,39240504
8,39240504
9,39238450
9,39243499
9,39238452
9,39238453
9,39238454
9,39241950
9,39246946
9,39239693
9,39241951
9,39240505
9,39246951
9,39240507
9,39240508
9,39234792
9,39256203
9,39239675
9,39237672
9,39237673
9,39240488
9,39243476
9,39256204
9,39246915
9,39239677
9,39241924
9,39243477
9,39237674
9,39241925
9,39256205
9,39246916
9,39239678
9,39256206
9,39243480
9,39240493
3,39238438
9,39246919
9,39246920
9,39241927
9,39243483
9,39243484
9,39240495
9,39240496
9,39239680
6,39241930
9,39240497
9,39246921
9,39246924
3,39239681
9,39238440
9,39241931
9,39238441
9,39238442
9,39243487
6,39239684
9,39256211
9,39246961
9,39246962
9,39243512
6,39238470
9,39241960
9,39238472
9,39241281
6,39256237
9,39246965
9,39246966
3,39239713
7,39239713
6,39239713
9,39241963
9,39241282
9,39241964
9,39239715
9,39256243
9,39238476
9,39239716
6,39243515
6,39243516
9,39239719
9,39238477
6,39246967
2,39241966
9,39246971
9,39256244
9,39238482
6,39243517
8,39243517
9,39246974
9,39256246
9,39241970
9,39239724
9,39239723
9,39246970
9,39238481
9,39241283
9,39241285
9,39241967
9,39241968
9,39241971
9,39241288
9,39241289
6,39246975
9,39256249
6,39239725
9,39238484
9,39246976
9,39238485
9,39239726
9,39238486
9,39239729
9,39241291
9,39262382
9,39238487
9,39243521
6,39238455
6,39239696
6,39238456
9,39240506
9,39256226
9,39241952
9,39239698
9,39238457
9,39238458
9,39239701
9,39239703
9,39239704
9,39239705
9,39246953
9,39239706
9,39239707
9,39243503
9,39238459
9,39238460
9,39240510
9,39243505
9,39243506
9,39241276
6,39241953
9,39246956
6,39241278
6,39246957
9,39241279
6,39243507
9,39243508
9,39241957
9,39238469
9,39256233
6,39239711
9,39239712
9,39256234
6,39243511
9,39256236
9,39262495
2,39247862
9,39262383
9,39262384
9,39238488
9,39238489
9,39241976
9,39262385
9,39243522
2,39246979
9,39238491
9,39241294
9,39246980
9,39241977
9,39262388
6,39262389
9,39241978
9,39262390
9,39243523
9,39243524
9,39243525
9,39241295
9,39238492
9,39262392
9,39262393
9,39243526
9,39241980
