criminal_act_id,offense_id
6,51856009
6,51848631
6,51847321
6,51856010
6,51907160
9,51907020
9,51904614
9,51893884
9,51890747
6,51894029
9,51895891
6,51894030
9,51897040
9,51890748
9,51891131
9,51893887
6,51894031
3,51894031
9,51890750
3,51893890
3,51890751
3,51890752
3,51895892
6,51894032
6,51894033
6,51891134
6,51895890
9,51894034
6,51890753
6,51897042
9,51894036
6,51891136
6,51895895
6,51897043
3,51897043
6,51897044
3,51895897
9,51890754
9,51897176
9,51894040
6,51897046
9,51894041
6,51894042
3,51894044
9,51897049
6,51891143
9,51891144
6,51890757
9,51894049
9,51895903
9,51894050
6,51893894
9,51897052
9,51893895
6,51895905
6,51897053
9,51890761
9,51897163
9,51897165
9,51897166
9,51890739
9,51894025
9,51897037
9,51897038
9,51895882
9,51893880
6,51895884
6,51895885
9,51890740
3,51890741
9,51894026
9,51890742
9,51890743
9,51897039
9,51894027
6,51897171
9,51897172
6,51895886
9,51893881
3,51893883
6,51893883
9,51895881
9,51894024
9,51897055
6,51895907
3,51895908
3,51894053
6,51891150
6,51897180
6,51893898
8,51893898
3,51893899
6,51890763
3,51895909
3,51897181
9,51897183
9,51891151
9,51891152
6,51893901
9,51890765
6,51897185
6,51895912
6,51894057
9,51890767
6,51897061
3,51897061
9,51897062
6,51890768
9,51897064
9,51895913
9,51893903
6,51890770
6,51894058
6,51893904
9,51897065
6,51897190
9,51890771
9,51897066
9,51894060
9,51895915
9,51893905
6,51897191
9,51895916
9,51894061
9,51894062
6,51895917
6,51895918
6,51891155
3,51891155
9,51893906
3,51895919
6,51897067
9,51894063
6,51891156
9,51897193
9,51897068
6,51893910
6,51893911
6,51893912
9,51894067
6,51895922
6,51891158
9,51891159
9,51897071
9,51890773
9,51890775
6,51893917
6,51891161
6,51897077
6,51890780
9,51895925
9,51895926
6,51893919
9,51897198
6,51890782
9,51895927
9,51891164
9,51895928
9,51897199
9,51895929
9,51897200
9,51890784
9,51890785
6,51891166
6,51895930
9,51895967
1,51896717
9,51891955
9,51894879
9,51897843
6,51891176
9,51897844
9,51894841
9,51890796
9,51893930
9,51897847
9,51897848
6,51891178
6,51890797
6,51890798
9,51897212
6,51897209
6,51894837
9,51895938
9,51895939
9,51894839
6,51890799
9,51897213
9,51890801
6,51895943
9,51894842
6,51897215
9,51897216
9,51897217
9,51890802
9,51890803
9,51894844
6,51893933
9,51890804
9,51897855
9,51894846
6,51897219
9,51895948
9,51894851
6,51897220
9,51893939
9,51897858
6,51897859
6,51894852
9,51890808
3,51894853
9,51893940
9,51891567
9,51893941
9,51897972
9,51897973
9,51895950
9,51897975
6,51895951
6,51895952
9,51893944
9,51893946
9,51893947
9,51897976
3,51897977
3,51895954
6,51893949
8,51891570
9,51891571
9,51893950
9,51897980
9,51894858
9,51891574
9,51891575
9,51891576
9,51891577
9,51895958
6,51895959
9,51897983
6,51895960
9,51894707
6,51894862
1,51904612
9,51894740
3,51895931
6,51893925
3,51897202
6,51895932
3,51897203
3,51897084
3,51894074
3,51894075
9,51891167
6,51897085
6,51891168
9,51893926
9,51897087
9,51894831
9,51895934
9,51890789
6,51897205
9,51897206
9,51893928
6,51894836
9,51897092
9,51897093
9,51897094
9,51897207
9,51891171
9,51897841
6,51897208
3,51897863
3,51894863
3,51897864
3,51891579
3,51891580
3,51891947
3,51894708
3,51894864
3,51895963
3,51894865
6,51895964
6,51894866
9,51894709
6,51891583
8,51894867
9,51897865
9,51895965
9,51894868
9,51894869
9,51891948
9,51897987
9,51894711
6,51894870
6,51894712
6,51891585
9,51894713
9,51895968
6,51894714
9,51894871
