criminal_act_id,offense_id
6,82777301
6,82780948
6,82769663
6,82772443
6,82777209
6,82772519
6,82777210
9,82792878
3,82798782
9,82801019
6,82797169
9,82791311
9,82797987
9,82802111
9,82798428
9,82802113
9,82798429
6,82798430
9,82801412
6,82797179
9,82797999
6,82801035
9,82798003
9,82798431
9,82798004
9,82792864
3,82802115
9,82801410
9,82802116
9,82801036
9,82797182
6,82802118
6,82802119
6,82792865
6,82801396
6,82797988
9,82792843
2,82801020
9,82791313
9,82801398
9,82801021
9,82801022
3,82801399
3,82792848
9,82792849
9,82801400
6,82797989
9,82791315
6,82792850
9,82791316
9,82797992
9,82801402
9,82801024
9,82797994
3,82801403
6,82801404
6,82801026
6,82791320
9,82791321
9,82792855
9,82797171
7,82792857
6,82801028
9,82797175
9,82792858
9,82797996
9,82802110
9,82801408
6,82801032
9,82792861
6,82801039
9,82792868
9,82798439
6,82798440
6,82798441
6,82792869
9,82792870
9,82801419
6,82798008
6,82801420
8,82792874
6,82792875
9,82801423
9,82792876
9,82802121
9,82802122
9,82792877
9,82801426
9,82797185
9,82792879
9,82792880
9,82801429
6,82801044
6,82798443
9,82797188
6,82801045
6,82792884
6,82802123
9,82798010
6,82797189
9,82798011
9,82797190
9,82792886
9,82792887
9,82792888
9,82792889
9,82797191
9,82802127
6,82797192
9,82802128
6,82802129
6,82798014
6,82797193
9,82798447
9,82792890
9,82792891
9,82792892
6,82801433
9,82802130
9,82801049
9,82798015
9,82801050
6,82802131
6,82797194
6,82801434
9,82798016
9,82797195
9,82798449
9,82792896
6,82802132
6,82802202
6,82798780
9,82798781
6,82792897
9,82798450
6,82798451
9,82798005
3,82801413
3,82798436
6,82798437
6,82801038
6,82802120
9,82798006
9,82798007
1,82801416
9,82798485
9,82802133
6,82802134
9,82792898
9,82792899
9,82792900
9,82801051
6,82798784
6,82797198
9,82801827
9,82798795
9,82797207
9,82798796
6,82802213
9,82801829
9,82798464
9,82802153
9,82798797
9,82798798
9,82802214
9,82797210
9,82801831
9,82798800
9,82797211
10,82798801
9,82798802
6,82798466
6,82798467
6,82801832
3,82801833
3,82802157
9,82797212
9,82793694
9,82798469
6,82802217
6,82797213
6,82793695
6,82797214
9,82798470
9,82798471
6,82806838
9,82797216
9,82797217
6,82806839
9,82793697
3,82801834
9,82793698
6,82797218
9,82802158
9,82802221
6,82798477
9,82797220
6,82806841
3,82801835
9,82802222
2,82793699
2,82801836
6,82797221
2,82801823
3,82798787
3,82802139
9,82792907
9,82798788
2,82798789
6,82802140
3,82798458
3,82792910
9,82793729
9,82802142
9,82801825
9,82802143
6,82793684
3,82792912
6,82798460
6,82798461
6,82802208
9,82802145
6,82802209
6,82802146
9,82797203
6,82797204
6,82798793
9,82802210
6,82798794
9,82802148
9,82798462
9,82802149
9,82797206
9,82802211
9,82798463
6,82801839
6,82801840
9,82802223
6,82801842
9,82801843
6,82801844
9,82802160
9,82793701
9,82801846
9,82802224
6,82802225
9,82802161
9,82793702
9,82793703
9,82806845
9,82802163
6,82801847
9,82798479
6,82797223
9,82793704
6,82802226
6,82797224
9,82798480
6,82802165
6,82802166
8,82802167
9,82801849
9,82802227
9,82802168
9,82793707
9,82797227
3,82797200
3,82792901
3,82792902
6,82801820
9,82797201
6,82802205
9,82802206
3,82792904
3,82797202
9,82792906
9,82798026
9,82810977
1,82802271
2,82808203
6,82797240
9,82806860
9,82801870
9,82802246
9,82793726
6,82793727
6,82793728
9,82793730
9,82793731
6,82798495
9,82793725
9,82810978
9,82802169
3,82793708
6,82797225
6,82797226
3,82806846
3,82806847
6,82798484
6,82802228
9,82797229
9,82793709
9,82802229
9,82793712
3,82802170
2,82802171
9,82802172
9,82793714
9,82801851
6,82802232
9,82802173
9,82797230
9,82801853
6,82798486
9,82806848
9,82797241
6,82810980
9,82802248
9,82801874
6,82793732
9,82806863
9,82798497
9,82810984
6,82793733
9,82802252
9,82810985
9,82793735
9,82810986
9,82806868
6,82793736
6,82793737
9,82801876
6,82806870
6,82802254
9,82798017
6,82798503
9,82802255
9,82798021
6,82798487
9,82802234
9,82810973
9,82801855
9,82793715
9,82806849
8,82797232
6,82806851
9,82801859
9,82797233
9,82797234
6,82798490
6,82806853
6,82806854
9,82793718
9,82801860
9,82802239
6,82802241
9,82806856
9,82793720
9,82801863
9,82801864
11,82793722
9,82806858
9,82802243
9,82802245
6,82801866
9,82793723
9,82806881
6,82798515
6,82798516
5,82798517
9,82801888
9,82800820
9,82806883
9,82802272
9,82800821
9,82802275
9,82800823
6,82800824
