criminal_act_id,offense_id
6,27769726
6,27755599
6,27763152
6,27769727
3,27769727
6,27764801
6,27755600
9,27784661
9,27784662
9,27780739
9,27775315
9,27784708
9,27775316
9,27775317
9,27784663
6,27787109
9,27780740
6,27780741
6,27775323
9,27772902
9,27775324
9,27775325
9,27780747
9,27787113
9,27772905
9,27772906
9,27787114
3,27787115
9,27780750
9,27772907
9,27787116
6,27784712
9,27784713
6,27775329
6,27772909
6,27780751
9,27784666
6,27784714
9,27787119
9,27775330
9,27772910
9,27784715
9,27787122
9,27780754
9,27780755
9,27787124
9,27780756
9,27772912
9,27784727
9,27780737
9,27787108
9,27780738
9,27772898
9,27787110
9,27780743
6,27780744
9,27780745
9,27787111
6,27775333
9,27784716
9,27772913
9,27787126
9,27787128
6,27787129
9,27784719
6,27772914
9,27784720
9,27784721
9,27780762
9,27780763
9,27787134
9,27784670
9,27784722
9,27772915
9,27787135
6,27780768
9,27787136
9,27784671
6,27780769
9,27787137
9,27772916
9,27780770
9,27787138
9,27787140
9,27784725
6,27772917
9,27775336
6,27775337
3,27780772
6,27780773
9,27772920
6,27787141
3,27787143
9,27784728
9,27784675
9,27790832
6,27780775
9,27775340
9,27784674
9,27780534
9,27780535
9,27781413
9,27781414
6,27787145
6,27787146
9,27772921
9,27772922
6,27784676
9,27784731
9,27781417
3,27787147
9,27784732
9,27784733
9,27784679
9,27784734
9,27784735
9,27772930
9,27772931
6,27781425
9,27787156
9,27772923
6,27785320
9,27785321
9,27772924
9,27772925
9,27772926
6,27772928
9,27780542
6,27780543
3,27785322
9,27772929
9,27781421
9,27787154
9,27784736
9,27780545
6,27781423
9,27787157
9,27784739
9,27780546
9,27785323
9,27772934
3,27780547
9,27785324
6,27784740
9,27781428
9,27780549
9,27784742
9,27780550
9,27780551
3,27781321
9,27780565
9,27785334
9,27784752
9,27781436
9,27784753
9,27781437
9,27785335
6,27778124
9,27785336
6,27787176
9,27787162
9,27780552
9,27784743
9,27780555
9,27772940
9,27780556
3,27787163
9,27787164
9,27772941
9,27784746
9,27780557
9,27787165
9,27787167
9,27784747
9,27781430
9,27787168
9,27787169
9,27785329
9,27784749
9,27784750
9,27785330
9,27787171
9,27780560
9,27787172
9,27781435
9,27785332
9,27778121
6,27778125
3,27787177
9,27778127
6,27781440
6,27780566
9,27781476
9,27784754
9,27778129
9,27781442
6,27785339
9,27780569
9,27780570
9,27778132
9,27778133
9,27785341
9,27780572
9,27780573
9,27787182
3,27787183
9,27778137
9,27781447
9,27781448
9,27778138
9,27780578
9,27784757
6,27787184
9,27778142
9,27785462
9,27778144
9,27781457
6,27785349
9,27781458
3,27780582
9,27781459
9,27785351
9,27780583
9,27778147
9,27787187
9,27780584
9,27778150
9,27789867
9,27781460
9,27784762
9,27780585
9,27787190
9,27787191
9,27781462
9,27780586
9,27780588
6,27787194
9,27780590
9,27780591
9,27787195
9,27787196
9,27781465
9,27781468
6,27781469
2,27781470
6,27789873
9,27780593
9,27789874
9,27784765
9,27780594
9,27780595
9,27778153
9,27789876
9,27781471
9,27781449
9,27781450
9,27778140
9,27784758
9,27785346
9,27781451
9,27785347
9,27780580
9,27781454
9,27781455
9,27784760
9,27778143
9,27780581
9,27787186
9,27785348
9,27792415
9,27778158
9,27784767
9,27780599
9,27778159
9,27780600
9,27778160
9,27778162
9,27784768
9,27781481
9,27778163
6,27784769
9,27787827
9,27789883
9,27784770
9,27789884
9,27789886
6,27778164
9,27778165
9,27780605
9,27789890
9,27787828
9,27781483
9,27778167
6,27787830
9,27778168
6,27778169
9,27787831
9,27789892
9,27780608
9,27780609
9,27789893
9,27781486
9,27780612
6,27781487
6,27781488
3,27784777
3,27781489
9,27787832
9,27789894
3,27784779
9,27789895
9,27780613
9,27784781
9,27778172
9,27787835
9,27787836
9,27787837
9,27781490
9,27787839
3,27781493
9,27778174
9,27778175
9,27784783
9,27789896
9,27780616
9,27784784
9,27781494
9,27778176
9,27780618
9,27789898
9,27780619
6,27787844
9,27780625
9,27781472
9,27781473
9,27781474
9,27781475
9,27787824
9,27780596
9,27780597
9,27778157
9,27784789
9,27792399
9,27787500
9,27780632
9,27789910
9,27780633
9,27789911
9,27784792
9,27787504
9,27780634
9,27789912
9,27780635
9,27780636
