criminal_act_id,offense_id
6,66969615
6,66956532
6,66956533
6,66963854
6,66966009
6,66951827
6,66963855
6,66965786
9,67037926
3,66997940
9,66993090
9,66997941
6,66997942
3,66997943
9,67012741
9,66997944
7,67013456
9,67010592
9,66993094
9,66997947
6,66997948
9,67013459
9,67010332
9,67013460
9,67010593
9,67013462
9,67013452
9,66993087
9,67004370
9,67013453
6,67013454
9,66997937
6,66993088
9,67004372
9,66993089
6,66997939
3,67010591
6,67012745
9,66997951
9,66993097
9,66993098
6,67010334
9,67013463
9,67004377
6,67004378
9,66997955
9,67010335
9,67010594
9,66997956
9,66997957
6,67010336
9,66993101
9,67012748
9,67013464
7,67010595
6,67010337
9,67010596
6,66997958
6,67004383
9,66997959
9,67010597
9,67004384
9,66993108
6,67013466
9,67012751
9,67012752
9,67012753
6,67012754
9,66997960
1,67012755
9,67012756
9,67013471
9,67010339
9,67012757
9,66997964
9,67004388
9,67010600
6,67012759
9,67013473
9,66993111
9,66997965
9,67010340
6,67004389
9,67013474
9,67010341
9,67013476
9,67010345
3,67004390
3,67010342
3,67010343
3,67010603
6,67013475
3,66993114
3,67012761
9,67012762
9,67018382
9,66997966
9,67018383
9,66997967
9,67010605
6,67013479
9,66993117
9,67010606
9,67010608
9,67010349
9,67010350
9,67012763
9,66997968
9,67018386
1,67012764
6,67010611
9,67018390
9,67013481
9,66993118
9,67010612
9,67018391
9,67012769
6,67018392
6,66997970
6,66997972
3,66997972
9,67012770
9,67013483
9,67010613
6,67013484
3,67010353
9,67010614
6,67010354
9,67010615
9,67018396
9,66993120
9,67013486
9,67018397
6,67012774
6,67010617
6,67018398
6,67018402
6,67018403
9,67018404
9,67010358
9,67018405
6,66993123
6,67018406
9,67013487
6,67013489
9,66993124
9,66993125
6,67013490
6,67018407
9,66997975
9,67010618
9,66993126
9,67010619
9,66993127
9,67010360
9,67013491
9,66993128
9,67010361
9,67010363
9,67010364
6,67018409
9,66997977
9,67018410
8,67018411
6,66998730
6,66993130
9,67010366
9,67012780
6,66998731
9,67010367
9,66993133
9,67010368
7,67018415
6,67018416
9,67010623
9,67010369
9,67010627
9,67018418
9,67013619
9,67025343
9,67010762
9,67013512
6,67013513
9,67012804
6,67025345
9,67025346
9,67013514
9,67018435
6,67018436
9,67025347
9,67013518
9,67013519
6,67013520
3,67012807
9,66998755
9,67024639
9,67013521
3,67013522
6,67012809
3,67012810
6,67018439
3,67010370
6,67010371
3,66998733
3,66993135
3,67010372
3,66998734
3,67013495
3,67012783
3,67010624
3,66993136
3,67013496
3,66993137
6,67012784
9,67012812
9,67018440
6,67018441
6,67010764
9,67013575
9,66998758
9,67010765
6,66998759
3,67010625
3,67018417
3,67012785
3,66998735
3,67010626
6,67012786
9,67010628
9,66993140
9,66998738
9,67013497
6,67012788
9,67010376
9,66998740
9,66998741
9,67024622
3,66998743
6,66998744
6,67024623
6,67024624
6,67018423
9,67012789
9,67013500
9,67010378
9,67025329
6,67012790
9,67012791
9,67018424
9,67018425
9,66998745
9,67013502
9,67012792
9,67010755
9,67024626
9,67025332
9,67010757
6,67024627
6,66998748
6,67013504
9,67024629
9,66998749
9,67013505
9,67024631
9,67025333
9,67013506
9,67025334
8,67013507
9,67018430
9,67012797
2,67025339
9,67010759
9,67024635
9,67018466
9,67013508
9,67025341
9,67010760
9,67024637
9,67013510
9,67010761
6,67012799
9,67024638
9,66998751
9,67013645
6,67013595
9,67024654
9,67010788
9,67012039
9,67024655
9,67019223
9,67019224
9,67013597
9,67026130
6,67026131
3,67013536
6,67013598
2,67013598
6,67024657
9,67026133
9,67013538
9,67013599
6,67024660
9,67013539
6,67013540
9,67012042
11,67011544
9,67011545
9,67012043
9,67019229
9,67026137
6,67013601
9,67011546
9,67011547
9,67013602
9,67024662
9,67013604
9,67024663
9,67027530
6,67013526
3,67018443
3,67013578
3,66998762
3,67024642
3,67013527
3,67024643
3,67018444
3,67024644
9,67010767
6,67010768
1,67010768
6,66998763
1,66998763
3,67018448
6,67018448
6,67018449
1,67018449
6,67013579
1,67013579
6,67013580
1,67013580
6,66998764
1,66998764
9,67013581
9,67013528
3,67010770
9,66998768
6,67024647
9,67025357
9,66998769
9,67013586
9,66998771
9,67013529
6,67010773
9,67010774
9,67018456
9,67013589
9,66998773
9,67025362
9,67025363
9,67013590
6,66998774
9,67025364
3,67010776
6,67010776
9,67013591
9,67024650
9,67010777
9,67010778
6,67018467
9,67013537
9,67025358
9,67025359
9,67025360
9,66998770
9,67010772
9,67013584
6,67025366
9,67018459
9,66998777
9,67013593
9,67010784
9,67018461
1,67018463
9,66998780
9,66998781
9,67024651
6,67013594
9,67012032
9,67012033
9,67025369
9,67013533
9,67013534
9,67026127
9,67012035
1,67026199
9,67024694
9,67032417
6,67011639
2,67019305
2,67024812
3,67019233
9,67011550
3,67013607
3,67024665
3,67019234
6,67024666
9,67026140
9,67024668
9,67012045
9,67013609
6,67011552
9,67011553
9,67027535
9,67012050
9,67024672
6,67024673
9,67019236
3,67026147
3,67012052
6,67012052
9,67019237
6,67027537
6,67024675
9,67026149
9,67026150
9,67024677
9,67026151
6,67019239
9,67013614
9,67013615
9,67019242
6,67012047
6,67027534
6,67012049
6,67026154
6,67026153
9,67019262
3,67012830
6,67012831
9,67011588
9,67024681
2,67013620
9,67013621
9,67011560
9,67027542
9,67024686
9,67019246
9,67011561
9,67013623
9,67024687
9,67019247
9,67019248
9,67027544
6,67013625
9,67026157
9,67011562
9,67024688
9,67011563
9,67013627
9,67027547
9,67013628
2,67026159
9,67024691
9,67026160
11,67019251
9,67011565
6,67024696
6,67027548
6,67013629
6,67027549
9,67024700
9,67019253
9,67012820
6,67026162
3,67027550
6,67027550
9,67026163
9,67026165
9,67026166
9,67011570
9,67026167
9,67012824
6,67026169
6,67012825
9,67013633
6,67027552
9,67019259
9,67019260
9,67026171
9,67011573
9,67013635
9,67027553
9,67024703
9,67013636
9,67027554
9,67013637
6,67024706
6,67024707
6,67024708
9,67027557
3,67024709
7,67024709
6,67024709
9,67012826
9,67012827
9,67027558
9,67025132
1,67032427
9,67013660
9,67024733
9,67024734
3,67011592
6,67011592
7,67011592
9,67011593
6,67024735
6,67013664
3,67013664
9,67012855
9,67011595
6,67012856
9,67025495
9,67012857
9,67027577
6,67012859
9,67012860
9,67025497
9,67025498
6,67011600
3,67019294
3,67012861
3,67027578
3,67011601
3,67013666
3,67012862
9,67011602
9,67011603
9,67011604
6,67019295
6,67019296
6,67019297
6,67025499
6,67013668
9,67013669
9,67011606
9,67012863
9,67027580
9,67025500
9,67027581
9,67027582
9,67011607
9,67026201
9,67013670
9,67026202
9,67026203
9,67013671
9,67025501
9,67026205
9,67012865
9,67027661
9,67027662
2,67025502
9,67019299
6,67026209
9,67012866
9,67025503
6,67025504
9,67025505
9,67011608
9,67026210
6,67026175
9,67013639
9,67019265
6,67011577
6,67011578
9,67027561
9,67012832
9,67019266
9,67013640
9,67013641
9,67019268
9,67019269
9,67019270
6,67011581
9,67027564
9,67013644
9,67011584
9,67019273
9,67024718
9,67019274
9,67019275
9,67019276
3,67019278
3,67011587
3,67012839
3,67027565
3,67024722
2,67026183
3,67026184
3,67024723
3,67027566
9,67026185
9,67019280
6,67013650
6,67013651
9,67024725
6,67019284
9,67027569
9,67024727
6,67024728
6,67011589
9,67026188
9,67019286
9,67012844
1,67027571
9,67019289
9,67026191
9,67026192
9,67012846
9,67013655
9,67012847
6,67012848
6,67024731
9,67013658
9,67012850
9,67012840
9,67027572
9,67012851
9,67012895
9,67011632
9,67025539
9,67011633
3,67011634
6,67012898
3,67025540
6,67027695
3,67019331
3,67012899
3,67027617
3,67012900
9,67019306
9,67026223
9,67027594
9,67027595
9,67026224
6,67027673
6,67027599
8,67012875
9,67027674
9,67027675
3,67012876
8,67012876
6,67019309
9,67019311
9,67025516
9,67026226
9,67019314
9,67027677
9,67027600
9,67027678
9,67025519
9,67012878
9,67027601
9,67026227
9,67019317
9,67027682
6,67025520
9,67027603
9,67027604
9,67027684
6,67027605
9,67025521
9,67026228
6,67026229
9,67027606
9,67019318
9,67012882
9,67019319
9,67027686
9,67025522
9,67011620
9,67011621
9,67011622
9,67012884
9,67039453
9,67039402
9,67026232
9,67026233
9,67011625
9,67019324
9,67027688
9,67011626
9,67026234
9,67025527
9,67011627
9,67011628
9,67012891
3,67019326
9,67012892
3,67026236
9,67025532
9,67012893
9,67027667
9,67011610
9,67011611
6,67025506
9,67025507
9,67027584
8,67011612
6,67011612
9,67011613
8,67026216
9,67027587
9,67027588
9,67019302
6,67025511
9,67026218
9,67027590
9,67019304
9,67026220
9,67011614
9,67011615
1,67039361
9,67027710
9,67028396
6,67027004
9,67027716
9,67028398
9,67025560
3,67027717
9,67028401
9,67027721
6,67027722
6,67027005
9,67027723
9,67027007
9,67025562
6,67031639
3,67031640
9,67031641
9,67027010
9,67031644
9,67027726
9,67027727
7,67025566
9,67012936
9,67011659
9,67025570
6,67025571
9,67031645
9,67025573
6,67031647
9,67027015
3,67013703
3,67013704
3,67011660
3,67025575
9,67028413
9,67012901
9,67027618
9,67019333
9,67012903
3,67031621
3,67012906
6,67026245
6,67011640
6,67027699
2,67025544
2,67027700
3,67026246
7,67026246
2,67012907
3,67025545
3,67012908
3,67031622
2,67031622
3,67026247
6,67025546
6,67031623
9,67027624
9,67012911
9,67012918
1,67012919
9,67027633
9,67031631
9,67027708
9,67012920
9,67027635
9,67011645
9,67025552
9,67011646
9,67031632
9,67028386
9,67012924
9,67011648
9,67031633
9,67026251
6,67026252
6,67031626
9,67012913
9,67027626
9,67031628
9,67012915
2,67028586
2,67039450
3,67004367
2,67039934
2,67028585
9,67011650
9,67012926
9,67025555
9,67027711
9,67027712
9,67011651
9,67025556
3,67025558
6,67028387
9,67028388
9,67031635
9,67027713
9,67027714
9,67027715
9,67031636
9,67028389
6,67028391
9,67028394
3,67011654
6,67027725
9,67028406
9,67031642
9,67013709
9,67028421
6,67028422
9,67027735
9,67013711
9,67027019
9,67028423
9,67027738
9,67011663
6,67031651
6,67028426
9,67013713
6,67013714
9,67028427
9,67028430
9,67013718
9,67027022
3,67028432
3,67032411
9,67037890
9,67013720
6,67037892
9,67037893
6,67037895
9,67027745
9,67012435
6,67027023
9,67032415
9,67027747
9,67028438
9,67013724
9,67027026
9,67027027
9,67028441
9,67032420
6,67028447
2,67037901
9,67037902
9,67037903
9,67027029
8,67032423
9,67037904
9,67028449
9,67039351
3,67031648
6,67013705
9,67028412
6,67028415
6,67031650
6,67028417
3,67013708
9,67027734
9,67024816
8,67028535
9,67037905
9,67037906
9,67028452
9,67032424
6,67012438
9,67028454
9,67012439
9,67028455
3,67027754
9,67039355
9,67012440
9,67013731
6,67028457
6,67037909
9,67028458
9,67028459
9,67013734
9,67027758
1,67037910
9,67039357
6,67032426
9,67037911
9,67039358
8,67028428
9,67028466
9,67039359
9,67037915
8,67012450
6,67012450
6,67032435
6,67028470
9,67037916
9,67039363
9,67039364
9,67032436
6,67032442
9,67012452
9,67013741
3,67039366
9,67037921
9,67037922
9,67028524
6,67028525
9,67028526
9,67037923
6,67028527
