criminal_act_id,offense_id
6,69264726
6,69264727
6,69267127
6,69267128
6,69263680
6,69264728
6,69267609
9,69293771
6,69297156
6,69294976
9,69290581
9,69293050
9,69297157
9,69292237
6,69292820
3,69285333
3,69292238
3,69285334
3,69297615
3,69297158
3,69292821
9,69319790
1,69319791
9,69292290
6,69292823
9,69285338
6,69290582
9,69285339
9,69294983
9,69292825
9,69294984
6,69293052
9,69292244
9,69290583
6,69294985
9,69285342
9,69294986
9,69294987
9,69297163
6,69293053
9,69285344
8,69285345
9,69294990
9,69297619
6,69292247
9,69293054
9,69297620
9,69292829
9,69293060
6,69292831
9,69285346
9,69293061
6,69294992
6,69294993
9,69292832
9,69294994
9,69292833
9,69294995
9,69290586
9,69292248
9,69297623
9,69292834
9,69292249
9,69297167
9,69293064
9,69292835
9,69294999
9,69290587
9,69292250
9,69295000
9,69285347
6,69293067
6,69297624
6,69297625
9,69293068
9,69292253
9,69295877
6,69292837
9,69285348
6,69292838
3,69293070
9,69292839
3,69292841
3,69293071
9,69295878
9,69293072
3,69285335
3,69292822
3,69294978
3,69285336
3,69285337
3,69294979
6,69293051
6,69297159
6,69285350
9,69295879
9,69297171
9,69293439
9,69293745
9,69290608
7,69290610
6,69293091
9,69295900
9,69293746
9,69298528
6,69298530
9,69292261
9,69290590
6,69295882
6,69297173
9,69293735
9,69295883
9,69290591
9,69295884
3,69297635
6,69297635
9,69293075
6,69295885
6,69292263
3,69290593
3,69292264
3,69293736
3,69285355
3,69285356
3,69293076
3,69285357
3,69293077
9,69292265
9,69297175
9,69285359
6,69292266
9,69298516
6,69295887
6,69292268
6,69285361
9,69293078
9,69295888
9,69285362
6,69293080
9,69293081
6,69295889
9,69285364
6,69285365
6,69285366
9,69290597
6,69293083
9,69298518
6,69292269
9,69285367
9,69293085
9,69285368
9,69295890
9,69293086
6,69293087
11,69298519
9,69295891
6,69290601
3,69290602
6,69285369
6,69293738
6,69290603
6,69292272
6,69293088
9,69292273
9,69290604
9,69293740
9,69285370
9,69298521
9,69295892
9,69297180
9,69297181
9,69285372
9,69298522
6,69290605
9,69297182
9,69285373
9,69295893
1,69297629
3,69292257
3,69290589
3,69292258
6,69293074
6,69295880
9,69292259
9,69292260
6,69295881
9,69298525
9,69297183
9,69292280
1,69298527
9,69295897
9,69295898
9,69285377
9,69293437
1,69297226
9,69297204
9,69298546
9,69292298
6,69292299
10,69293769
9,69293458
9,69301972
6,69293459
6,69293770
6,69301974
9,69301975
9,69293774
6,69293462
9,69298549
6,69293464
6,69294007
3,69293465
6,69290631
