criminal_act_id,offense_id
6,59230318
6,59235241
6,59227967
6,59222477
8,59222477
6,59230319
6,59222478
6,59225591
6,59225592
6,59222479
6,59225593
2,59230637
6,59241261
1,59238699
9,59253799
1,59250255
6,59250255
9,59250256
9,59250258
9,59257206
8,59250261
8,59253365
9,59250263
9,59253800
6,59253801
9,59250266
9,59257209
9,59256645
6,59250267
6,59214936
6,59233463
6,59222392
6,59260287
9,59253802
9,59257211
9,59256647
9,59253366
9,59248086
9,59253803
6,59257212
6,59257213
9,59250270
9,59253368
9,59253806
3,59253372
9,59248089
6,59250271
9,59260289
9,59224610
9,59233462
9,59214472
9,59214473
9,59214475
9,59223556
7,59214938
3,59214938
6,59233465
6,59214939
6,59217731
9,59222393
3,59223557
7,59214940
6,59214940
9,59214478
7,59233466
6,59233466
6,59214479
9,59233467
9,59217734
9,59223559
8,59217735
9,59217737
9,59233468
9,59217739
6,59214943
9,59233469
9,59222399
9,59253355
3,59249485
3,59249486
6,59253356
3,59253356
6,59253357
8,59253357
6,59249487
9,59257197
9,59257198
9,59260277
9,59250252
9,59256635
9,59253791
9,59247310
9,59224353
9,59223211
9,59214948
9,59222400
9,59224618
6,59256636
6,59256637
3,59260278
9,59260279
6,59253792
3,59256638
3,59253358
3,59257199
9,59223191
3,59253793
6,59250253
3,59253359
3,59257200
3,59257201
3,59253794
3,59250254
9,59247311
9,59256640
5,59253361
6,59260280
9,59260281
9,59260282
6,59256643
9,59226646
1,59230433
9,59230562
9,59237385
3,59214480
6,59214944
3,59214945
3,59214481
3,59214482
9,59224650
3,59214483
6,59214485
3,59214485
9,59224616
6,59222401
9,59217742
9,59224617
9,59217743
6,59214950
6,59224619
9,59222403
9,59233475
9,59224623
6,59214952
9,59233478
6,59233479
9,59233480
9,59217748
9,59214488
6,59223564
9,59217753
9,59223571
6,59233489
9,59214955
9,59214494
9,59222412
6,59214958
6,59217754
6,59223573
9,59222413
6,59224629
9,59217755
9,59223574
9,59222414
6,59223575
3,59214961
9,59224081
9,59214496
9,59223576
6,59224634
9,59214962
9,59223577
9,59224082
6,59214498
9,59233495
6,59214963
2,59222417
9,59233496
9,59224640
9,59214964
9,59224348
9,59223190
6,59214490
9,59223567
6,59214491
9,59222408
6,59224624
3,59224624
9,59223568
9,59233483
9,59223569
6,59214492
7,59214493
6,59222410
9,59233484
9,59217752
9,59214954
9,59214966
3,59253795
3,59253796
8,59226593
9,59231308
9,59257196
9,59224673
9,59224088
9,59233499
6,59233500
9,59224646
6,59214508
9,59223196
9,59224355
9,59224864
9,59214978
9,59233504
9,59224360
9,59214982
9,59233505
9,59224869
9,59214984
9,59224362
9,59224652
8,59224870
9,59233522
6,59233523
9,59224878
9,59224399
9,59233542
9,59214975
9,59224866
9,59224648
6,59223201
9,59214977
9,59224649
6,59215287
9,59224363
6,59233508
3,59233508
9,59215288
9,59224364
6,59233509
6,59214986
9,59224653
9,59224655
9,59215289
9,59224370
9,59214987
9,59214988
10,59214990
9,59224658
6,59224872
6,59224372
8,59224660
9,59233512
6,59233513
6,59223208
9,59214992
9,59233515
9,59215292
9,59233518
9,59224875
6,59215293
9,59224662
9,59233519
9,59233521
9,59224663
9,59233524
9,59214997
6,59215295
6,59215298
7,59215298
9,59214999
9,59233525
8,59224668
3,59214499
3,59224349
3,59224083
6,59233497
3,59233498
3,59224642
3,59214965
3,59224643
6,59224085
9,59224087
9,59214968
9,59224645
6,59223194
6,59214970
6,59230540
9,59224687
6,59224910
6,59224911
9,59224688
6,59230541
9,59224407
9,59224913
6,59230543
9,59233546
1,59224915
9,59224916
9,59230390
9,59246989
3,59253789
3,59215003
3,59224380
3,59223214
3,59215299
3,59224669
3,59215300
3,59224670
6,59215004
2,59215301
2,59215302
6,59224381
9,59223215
9,59224883
9,59215006
6,59223217
6,59224884
9,59215304
9,59230514
9,59233528
9,59224887
6,59230515
9,59233530
9,59223221
9,59233532
9,59230517
6,59233533
9,59215009
9,59223225
9,59223227
6,59233536
6,59215010
9,59224894
9,59224394
2,59224671
9,59223228
6,59224389
6,59224390
6,59223229
6,59223230
8,59223230
3,59223230
6,59215012
6,59224676
9,59233537
9,59224392
9,59223232
9,59223233
3,59215017
9,59224897
9,59230528
9,59230529
9,59233540
6,59224395
9,59224680
9,59224397
9,59224901
9,59229622
9,59230382
6,59230533
9,59230534
9,59215022
9,59224400
9,59230535
9,59224684
9,59224905
9,59215024
6,59224907
6,59230536
6,59230537
9,59230538
9,59224908
9,59224686
6,59233543
3,59223213
3,59224379
3,59215002
3,59224882
1,59230570
9,59226592
9,59224950
9,59230432
9,59230579
9,59224433
9,59230434
9,59226594
9,59226596
9,59226598
6,59224694
7,59215026
9,59230392
6,59230546
9,59215803
9,59224414
9,59224415
9,59215806
9,59233550
3,59224917
3,59230394
3,59233551
9,59230548
6,59230395
9,59224698
6,59224919
6,59224921
6,59215809
6,59233554
6,59224699
9,59224416
9,59233556
9,59230549
9,59224700
9,59224925
6,59224417
9,59224926
9,59224701
6,59230550
9,59224927
6,59230397
6,59230399
6,59230400
9,59224702
9,59230401
6,59230419
6,59230560
6,59230561
9,59224934
1,59226582
9,59234337
9,59224709
9,59224710
9,59234338
9,59226583
9,59224938
9,59230403
9,59233557
9,59230405
9,59230406
9,59224930
9,59230408
9,59230553
6,59230554
9,59230409
9,59215811
9,59233559
6,59230555
11,59233560
6,59224703
9,59224704
9,59230556
9,59230412
9,59230413
9,59224426
6,59224427
9,59230417
9,59230418
6,59224428
9,59233565
6,59233566
9,59224706
9,59231300
9,59230490
1,59236955
9,59234340
9,59224711
2,59230420
6,59230420
9,59226584
9,59234344
9,59230565
6,59224939
9,59230567
9,59231853
9,59230422
6,59224940
9,59230568
6,59230569
9,59230424
9,59230571
8,59224941
6,59234350
9,59224942
6,59230573
9,59231855
9,59224943
9,59234352
6,59230576
9,59224944
9,59224432
9,59226591
9,59224947
6,59231858
9,59230431
9,59224949
9,59230577
9,59226649
6,59226623
6,59225764
6,59234385
3,59234385
3,59231898
3,59236013
3,59225765
3,59226624
3,59234386
3,59230611
3,59226625
3,59234387
3,59226626
6,59226626
6,59230463
3,59236014
9,59226597
9,59224954
9,59231865
9,59231866
6,59230582
9,59230437
9,59226599
6,59226600
6,59234359
1,59226601
6,59224439
6,59230584
8,59231869
6,59230586
9,59231871
9,59224963
9,59230440
9,59231872
6,59224966
3,59234365
6,59224967
6,59224968
6,59224969
9,59224970
6,59224971
9,59224441
3,59215807
9,59232694
9,59247883
2,59227441
6,59260276
6,59226607
9,59231901
6,59226608
9,59231875
9,59224446
9,59230444
6,59224447
9,59234366
6,59224448
6,59230591
9,59224973
6,59230594
8,59234369
9,59224974
8,59224449
3,59234370
6,59230445
6,59226610
6,59231878
6,59224975
6,59230447
6,59231880
9,59226611
9,59224453
6,59230596
9,59224976
9,59230598
9,59226612
9,59230449
6,59230599
6,59230600
9,59230452
9,59230603
9,59231884
9,59224980
6,59230453
6,59224455
6,59231886
3,59226617
9,59226618
9,59224981
9,59234376
9,59224456
9,59224457
6,59230607
6,59230608
9,59224985
6,59224986
9,59234378
9,59224987
9,59234379
3,59230455
6,59234381
6,59224989
6,59226620
9,59225760
6,59234383
2,59230456
9,59225761
9,59230457
6,59230460
9,59226632
9,59225773
9,59230614
6,59230470
6,59234397
9,59231906
6,59226639
2,59231915
3,59234401
3,59226640
3,59226641
3,59236031
2,59226642
3,59225788
9,59226643
6,59234402
9,59230619
9,59236033
9,59225789
9,59236034
9,59230620
9,59232686
9,59230621
9,59230624
9,59234405
6,59234406
9,59236036
9,59236037
9,59232687
9,59226648
9,59230483
9,59226650
9,59232690
6,59230484
6,59225793
9,59230485
9,59226651
9,59236043
6,59230488
9,59226652
6,59226653
9,59232693
6,59225797
9,59230489
9,59225763
9,59230462
7,59230464
9,59225766
3,59226627
9,59236015
6,59236017
6,59226654
9,59227463
9,59246984
9,59225799
9,59246985
6,59246986
6,59246987
6,59232695
9,59246990
6,59225803
9,59246991
6,59230636
6,59246992
9,59230638
9,59225806
9,59232698
9,59246993
9,59225807
9,59231403
9,59232699
9,59231404
6,59231405
3,59231406
3,59226658
3,59226659
3,59230494
3,59236046
6,59246994
6,59231407
6,59246995
6,59246996
3,59225808
3,59236048
9,59241265
6,59227530
6,59231902
9,59225769
6,59234392
9,59230612
9,59234393
9,59234394
6,59225771
6,59234396
9,59231905
9,59225775
3,59236024
9,59234399
9,59230472
9,59230615
9,59231908
3,59226634
9,59226635
6,59225779
9,59230617
9,59230618
3,59230473
9,59225780
9,59231909
9,59236028
6,59225781
6,59225782
9,59236030
3,59225783
9,59230478
9,59230479
9,59226638
9,59230465
9,59234389
6,59225767
6,59225768
8,59232756
9,59238616
9,59236069
6,59227448
6,59236607
9,59230505
9,59231432
9,59232716
9,59236071
9,59227450
9,59247013
9,59247014
9,59231433
9,59232718
6,59231435
9,59227452
6,59231436
9,59231437
6,59232721
9,59232722
9,59227454
9,59236611
6,59230508
9,59230509
1,59236616
9,59236075
6,59236076
6,59227456
9,59236077
6,59247017
6,59247018
9,59231443
6,59247020
9,59236617
9,59231444
9,59236078
9,59231445
8,59236080
6,59236083
9,59236622
3,59231408
3,59230495
3,59225809
3,59232700
9,59226660
9,59230497
9,59236049
6,59227434
9,59236050
6,59232701
9,59231412
9,59227435
9,59231413
9,59236052
9,59247003
9,59236054
9,59231415
9,59232704
9,59236055
9,59231416
6,59225814
6,59225816
9,59247004
6,59231417
6,59232707
9,59232708
6,59231421
6,59227439
9,59231423
9,59247006
7,59237381
9,59241266
9,59231414
9,59247008
9,59230501
6,59231424
9,59231425
6,59230502
9,59230503
9,59236061
6,59227444
3,59231427
6,59232710
9,59236063
9,59247009
9,59227445
9,59232711
9,59236065
9,59232712
9,59236601
9,59236604
9,59236067
6,59247010
9,59231429
9,59247011
9,59236605
3,59236068
6,59236068
6,59236632
9,59247031
9,59237406
3,59247032
6,59247033
9,59236121
9,59247052
9,59236097
9,59236098
9,59227473
9,59236630
9,59236099
9,59247030
9,59231293
9,59236631
9,59236100
9,59236101
9,59237408
9,59237410
9,59231296
9,59227475
9,59247034
9,59231297
6,59237412
9,59231470
9,59232735
9,59232736
3,59247035
7,59231472
6,59231473
6,59237414
9,59247036
9,59232739
9,59231302
9,59237415
9,59247037
9,59237416
9,59227478
9,59238601
9,59238602
9,59232740
9,59247039
9,59237417
6,59227479
6,59232741
9,59236104
9,59227480
9,59236106
9,59236108
9,59227481
9,59237419
9,59231307
9,59227483
9,59232743
9,59236110
9,59236112
9,59237423
9,59231309
3,59231311
3,59231312
9,59227484
6,59231313
6,59231314
9,59236113
9,59231316
3,59232744
3,59232745
9,59237426
6,59247041
9,59231317
9,59247042
9,59237427
9,59236115
6,59247043
6,59231318
9,59231319
9,59232748
9,59238605
9,59237432
9,59237433
9,59231277
3,59231278
3,59231447
3,59231448
3,59236619
6,59247022
3,59236082
3,59247023
3,59231449
9,59232727
9,59231450
9,59231451
6,59227461
6,59231452
9,59236623
9,59236087
9,59236088
6,59247027
9,59231284
6,59236089
9,59236090
9,59231288
6,59231289
9,59236095
9,59231290
9,59231291
9,59227467
6,59227468
9,59231461
9,59227469
3,59236624
3,59236625
3,59236626
3,59227470
3,59231292
9,59230493
9,59241722
9,59236091
6,59236092
9,59231456
9,59236094
9,59227465
9,59237438
6,59247048
9,59238608
9,59247049
6,59231327
